name,detail_url,logo_url,slug,has_logo
24kcbdplus,https://www.leafly.com/brands/24kcbdplus,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/UsrqXTGTTh2fl8ffFFd2_24kcbdplus-logo-(3).png,24kcbdplus,yes
253 Farmacy,https://www.leafly.com/brands/253-farmacy,https://leafly-public.imgix.net/brands/brand-placeholder.svg,253-farmacy,yes
27 Pure,https://www.leafly.com/brands/27-pure,https://leafly-public.imgix.net/brands/brand-placeholder.svg,27-pure,yes
2727 Marijuana,https://www.leafly.com/brands/2727-marijuana,https://leafly-public.imgix.net/brands/brand-placeholder.svg,2727-marijuana,yes
27pure,https://www.leafly.com/brands/27pure,https://leafly-public.imgix.net/brands/brand-placeholder.svg,27pure,yes
2HD Ag LLC,https://www.leafly.com/brands/2hd-ag-llc,https://leafly-public.imgix.net/brands/brand-placeholder.svg,2hd-ag-llc,yes
2wisted,https://www.leafly.com/brands/2wisted,https://leafly-public.imgix.net/brands/brand-placeholder.svg,2wisted,yes
3 Boys Farm,https://www.leafly.com/brands/3-boys-farm,https://leafly-public.imgix.net/brands/brand-placeholder.svg,3-boys-farm,yes
3 Bros Grow,https://www.leafly.com/brands/3-bros-grow,https://leafly-public.imgix.net/brands/brand-placeholder.svg,3-bros-grow,yes
3 Docs Extracts,https://www.leafly.com/brands/3-docs-extracts,https://leafly-public.imgix.net/brands/brand-placeholder.svg,3-docs-extracts,yes
3 Little Birds Farm,https://www.leafly.com/brands/3-little-birds-farm,https://leafly-public.imgix.net/brands/brand-placeholder.svg,3-little-birds-farm,yes
3 Oaks Orchard,https://www.leafly.com/brands/3-oaks-orchard,https://leafly-public.imgix.net/brands/brand-placeholder.svg,3-oaks-orchard,yes
34 Street Seed Co.,https://www.leafly.com/brands/34-street-seed-co,https://leafly-public.imgix.net/brands/brand-placeholder.svg,34-street-seed-co,yes
365 Cannabis,https://www.leafly.com/brands/365-cannabis,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/dAehUyvDTsGBbuPPUsIt_photo.jpg,365-cannabis,yes
37 Tons,https://www.leafly.com/brands/37-tons,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/VbUOCsH8R8GQoCQhPfW7_Word%20art%202-0.jpg,37-tons,yes
3BL for Living,https://www.leafly.com/brands/3bl-for-living,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/ojSqMdX2Qt7LZGUva98s_3BL_840x840_logo.png,3bl-for-living,yes
3C Farms,https://www.leafly.com/brands/3c-farms,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/pdmOoQiBQrSOHjIkD4Uc_Screen%20Shot%202020-03-16%20at%208.03.34%20PM.png,3c-farms,yes
3CHI,https://www.leafly.com/brands/3chi,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/D8fuMgUMRHylHQ4zFM2Q_3Chi-cbd-favicon.png,3chi,yes
3D Pharms,https://www.leafly.com/brands/3d-pharms,https://leafly-public.imgix.net/brands/brand-placeholder.svg,3d-pharms,yes
3Js Hice Cream,https://www.leafly.com/brands/3js-hice-cream,https://leafly-public.imgix.net/brands/brand-placeholder.svg,3js-hice-cream,yes
3Leaf Edibles,https://www.leafly.com/brands/3leaf-edibles,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/76EEviGQQCmT4c0U06gF_3Leaf%20Logo_black.png,3leaf-edibles,yes
3Lefts,https://www.leafly.com/brands/3lefts,https://leafly-public.imgix.net/brands/brand-placeholder.svg,3lefts,yes
3Win Corp,https://www.leafly.com/brands/3-win-corp,https://leafly-public.imgix.net/brands/brand-placeholder.svg,3-win-corp,yes
4 LOVE OIL,https://www.leafly.com/brands/4-love-oil,https://leafly-public.imgix.net/brands/brand-placeholder.svg,4-love-oil,yes
4.20 Bar by Evergreen Herbal,https://www.leafly.com/brands/420-bar-arizona,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/HLlfnUiiRtOnWr7ITjlq_logo4.20-01.png,420-bar-arizona,yes
4.20Bar CA,https://www.leafly.com/brands/the-420-bar,https://leafly-public.s3-us-west-2.amazonaws.com/brands/logos/ztmmkrbLSvCxZaMUAQUn_420Bar_Logo.jpg,the-420-bar,yes
420 Bomb,https://www.leafly.com/brands/420-bomb,https://leafly-public.imgix.net/brands/brand-placeholder.svg,420-bomb,yes
