Type,Business,DBA,License,Street,City,Zipcode,Website,Location
Adult-Use Cannabis Only,SHANGRI-LA CT INC,SHANGRI-LA CT INC,ACRE.0003185,53 INTERSTATE LN,WATERBURY,06705-2658,,POINT (-72.99759 41.53543)
Adult-Use Cannabis Only,SHANGRI-LA DISPENSARY,SHANGRI-LA CT INC,ACRE.0011824,75 CONNECTICUT AVE,NORWALK,06850-3528,,POINT (-73.4253 41.10647)
Adult-Use Cannabis Only,SLAP ASH RETAIL I LLC,HIGH PROFILE CANNABIS SHOP,ACRE.0013138,2607 Whitney Ave,Hamden,06518,,POINT (-72.89815 41.39134)
Adult-Use Cannabis Only,SLAP ASH RETAIL II LLC,HIGH PROFILE CANNABIS SHOP,ACRE.0002642,195 Albany Turnpike,Canton,06019,,POINT (-72.89538 41.82526)
Hybrid Retailer,CHILLAX LLC,THE LIV,AMHF.0002942,2661 Berlin Turnpike,Newington,06111,,POINT (-72.71405 41.67801)
Adult-Use Cannabis Only,CHILLAX LLC,THE LIV,ACRE.0004289,97 Providence Pike,Putnam,06260,,POINT (-71.87378 41.92515)
Hybrid Retailer,FFD NEWINGTON LLC,FINE FETTLE DISPENSARY - NEWINGTON,AMHF.0008249,2280 BERLIN TPKE,NEWINGTON,06111-3202,https://www.finefettle.com/,POINT (-72.70531 41.69038)
Hybrid Retailer,FFD CENTRAL LLC,FINE FETTLE DISPENSARY,AMHF.0008248,1548 W MAIN ST,WILLIMANTIC,06226-1142,https://www.finefettle.com/,POINT (-72.23605 41.71904)
Hybrid Retailer,WILLOW BROOK WELLNESS LLC,ZEN LEAF MERIDEN,AMHF.0008259,55 Nott Highway,Ashford,06278,https://zenleafdispensaries.com,POINT (-72.18238 41.85928)
Hybrid Retailer,WILLOW BROOK WELLNESS LLC,ZEN LEAF MERIDEN,AMHF.0008260,98 ELM ST,ENFIELD,06082-3732,https://zenleafdispensaries.com,POINT (-72.5826 41.99727)
Hybrid Retailer,WILLOW BROOK WELLNESS LLC,ZEN LEAF MERIDEN,AMHF.0008254,1371 E MAIN ST,MERIDEN,06450-4869,https://zenleafdispensaries.com,POINT (-72.75697 41.52552)
Hybrid Retailer,AFFINITY HEALTH & WELLNESS INC,AFFINITY DISPENSARY,AMHF.0008252,1351 WHALLEY AVE,NEW HAVEN,06515-1149,https://affinityct.com/,POINT (-72.97428 41.33251)
Hybrid Retailer,CURALEAF STAMFORD INC,CURALEAF STAMFORD INC,AMHF.0008256,814 E MAIN ST,STAMFORD,06902-3832,https://ct.curaleaf.com/shop/curaleaf-ct-stamford,POINT (-73.52787 41.05568)
Hybrid Retailer,CURALEAF GROTON LLC,CURALEAF GROTON LLC,AMHF.0008270,79 GOLD STAR HWY,GROTON,06340-3429,https://ct.curaleaf.com/shop/curaleaf-ct-groton,POINT (-72.06632 41.36664)
Hybrid Retailer,CURALEAF MILFORD INC,CURALEAF MILFORD INC,AMHF.0008272,240 BUCKLAND ST,MANCHESTER,06042-1604,https://ct.curaleaf.com/shop/curaleaf-ct-milford,POINT (-72.55426 41.80383)
Hybrid Retailer,SOUTHERN CT WELLNESS AND HEALING LLC,SOUTHERN CT WELLNESS AND HEALING LLC,AMHF.0008277,175 BOSTON POST RD,ORANGE,06477-3205,https://www.soctwellness.com/,POINT (-72.99493 41.27271)
Hybrid Retailer,CARING NATURE LLC,ZEN LEAF,AMHF.0008287,237 E AURORA ST,WATERBURY,06708-2044,https://zenleafdispensaries.com/locations/waterbury/,POINT (-73.05754 41.57033)
Hybrid Retailer,CARING NATURE LLC,ZEN LEAF,AMHF.0008262,585 South Main Street,Naugatuck,06770,https://zenleafdispensaries.com/locations/waterbury/,POINT (-73.04809 41.47845)
Hybrid Retailer,TRULIEVE BRISTOL INC,TRULIEVE CANNABIS DISPENSARY,AMHF.0008263,820 FARMINGTON AVE,BRISTOL,06010-3921,https://www.trulieve.com/dispensaries/bristol-ct,POINT (-72.91603 41.69263)
Hybrid Retailer,"CT BGP, LLC",BUDR CANNABIS,AMHF.0008251,887 NORWICH NEW LONDON TPKE,UNCASVILLE,06382-1917,https://www.shopbotanist.com/locations/montville/,POINT (-72.10596 41.44989)
Hybrid Retailer,"CT BGP, LLC",BUDR CANNABIS,AMHF.0008283,234 TALCOTTVILLE RD,VERNON ROCKVILLE,06066-4617,https://www.primewellnessofct.com/,POINT (-72.49135 41.8358)
Hybrid Retailer,"CT BGP, LLC",BUDR CANNABIS,AMHF.0008268,105 MILL PLAIN RD,DANBURY,06811-5198,https://www.shopbotanist.com/locations/danbury/hours-and-info/,POINT (-73.51942 41.39298)
Hybrid Retailer,"BLUEPOINT APOTHECARY, LLC",RISE,AMHF.0008250,471 E MAIN ST,BRANFORD,06405-2961,https://www.bluepointwellnessct.com/,POINT (-72.77273 41.29794)
Hybrid Retailer,CURALEAF HARTFORD INC,CURALEAF HARTFORD INC,AMHF.0008265,92 WESTON ST,HARTFORD,06120-1510,https://ct.curaleaf.com/shop/curaleaf-ct-hartford,POINT (-72.66265 41.78681)
Hybrid Retailer,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,ZEN LEAF,AMHF.0008258,2903 BERLIN TPKE,NEWINGTON,06111-4115,,POINT (-72.71736 41.67079)
Hybrid Retailer,NOVA RETAIL CT LLC,NOVA FARMS CANNABIS DISPENSARY,AMHF.0008286,623 HARTFORD RD,NEW BRITAIN,06053-1526,,POINT (-72.76282 41.71473)
Hybrid Retailer,CT NIGHTJAR 1,CT NIGHTJAR 1,AMHF.0008285,15 Colton Road,East Lyme,06333,https://nightjarcannabis.com/,POINT (-72.25315 41.32201)
